County,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,PCA_proj_pri,PCA_proj_sec
AITKIN,0.4839737007033891,1.9082195022169568,3.837807745766444,1.5465822031174332,3.3459802094915783,3.457958015717003,0.17908186637891474,2.3564756105003224,3.8475730307818505,2.351219155760319,2.9521943381928337,0.06857947876783294,1.2369105460443997,1.5816882382513762,2.291240072762972,7.787111558393907,-3.813327462447952
ANOKA,1.0091374555091803,0.9734567220851664,1.2531688574705493,1.2876137071489395,0.8403433322810294,1.3220935802658973,1.4773023154425071,0.9822192566270348,1.3041775493821246,1.8188227260451417,1.185222546607534,1.697014779884595,1.2298997049496692,1.1885923193052608,1.194730430401446,4.464029968762937,-1.3818842869335002
BECKER,0.3099339705912496,1.012552795668604,1.3944540153610006,1.5901592614412356,1.6793736267464858,0.3416997427059337,0.4988814393128035,2.3626666638348337,0.8186978360197841,0.2521286756427424,1.4035993647060463,1.5712280960263232,1.1666359380425386,1.6694963261494866,1.1431649060128841,3.9785713471863025,-1.6594166457743176
BELTRAMI,0.7029781406403893,1.062415801102431,2.1395777620016623,1.9290363077684125,1.6149866995867077,1.388211879490712,-0.44454740735323794,1.8488990715742155,1.5605628905225832,1.2204274616387898,1.5690505767160678,1.9735702809510391,0.7246467769609509,1.9741283346826008,1.7698694332753335,5.071735878439956,-1.693770418598196
BENTON,1.4148318135746316,1.3202766188958834,0.9079067103165184,0.5694953773689009,1.3371279764960764,0.6762770708608696,0.1963466228887767,0.9114818401697083,0.25883551503023633,0.6745051143060057,1.0796388406012387,1.5645039348158003,0.9742239193309954,1.7602814253651846,1.001508191913658,3.532370771901296,-0.3143932228529205
BIG STONE,2.432705241718549,1.464901131893731,1.9134871230088677,2.904532075152636,0.7692161623945435,2.91459416053,1.9353296179598347,3.069584735750417,2.472015318874897,0.6949845172734878,2.025522008861013,2.857250988764109,1.9200192205117532,4.223006952056814,1.8338207783721965,8.15663523834769,-1.8141290866567747
BLUE EARTH,1.3225025074013301,1.9852481159673203,0.1947009792910241,1.7454569714883297,1.4888849324296216,1.2195497042964465,0.9799942125956844,1.5790101753728478,1.3017727641039225,1.4242442255640682,1.2884144018980916,2.4694013542986384,1.412192731827201,1.6102218784128166,1.6110333762892657,4.677440255135873,-1.8873438382902172
BROWN,0.7815083957353991,0.8875513881848621,0.4387826348397779,1.0650898659727512,2.104495843743968,0.964950683784924,0.9268278406924452,2.7548356361410464,0.8749495442461523,0.9274684742963668,0.6626454055537531,2.66339163469798,1.2131651187795185,1.7648045814348183,2.493342139153928,4.4344656288174455,-1.8253712074471136
CARLTON,0.5118390676024849,-0.2333621747478917,3.830846757152536,1.4636730379320833,2.1037425057264283,1.9615058061846384,1.8232080897750491,3.0925609368003717,1.6898948665903757,-0.056818901061204324,2.5969428731799344,2.124165410674072,0.9172441990958822,2.124464120036342,3.1639902763914582,6.702547847675666,-2.5769685773483255
CARVER,0.8893996325567064,0.8680463598039122,1.1673167180856183,1.1311082124979952,0.3858831512341205,1.2180101278108852,0.9859090858572622,1.0832284610576899,0.8592055271583763,1.260577837014145,0.7346522340617838,0.9641606108754632,0.6946428813263468,0.8293881115512155,1.126738864212447,3.354973000930657,-1.3230802087383173
CASS,0.5057724104641621,-0.13564466171857767,1.1761275066589918,0.8447554055374152,1.0644671199673736,0.6828666334044218,0.7402806537122055,1.7769235155529564,0.6776769098171059,1.0023826458093723,0.8643416858850446,0.951549682147312,0.6643074225251486,1.361798011078822,0.8846418212007571,3.267649539482734,-0.7969054146274703
