County,polyFitResult,a,b,c
WINONA,"(array([-5.72102897e-01,  2.30031926e+03, -2.31222312e+06]), array([40.92289461]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.5721028970466988,2300.3192555178966,-2312223.1245223144
MORRISON,"(array([-5.68431568e-01,  2.28861558e+03, -2.30353044e+06]), array([387.66273735]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.5684315683182642,2288.6155839594903,-2303530.4395010504
MEEKER,"(array([-5.28121878e-01,  2.12344830e+03, -2.13441787e+06]), array([35.54318682]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.5281218780666452,2123.448301475848,-2134417.868856932
DAKOTA,"(array([-5.18206793e-01,  2.08388754e+03, -2.09494315e+06]), array([15.77250499]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.5182067931633586,2083.8875372875527,-2094943.1463022816
WASHINGTON,"(array([-5.12987013e-01,  2.06257263e+03, -2.07318300e+06]), array([43.22582415]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.5129870129549311,2062.5726272433167,-2073182.9963232456
PINE,"(array([-4.89785215e-01,  1.97468319e+03, -1.99028763e+06]), array([491.61604157]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.4897852146537243,1974.6831912789717,-1990287.6250669025
CARVER,"(array([-4.80744256e-01,  1.93375267e+03, -1.94453764e+06]), array([23.83851898]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.48074425569998275,1933.752672149332,-1944537.642502721
RAMSEY,"(array([-4.72327672e-01,  1.89920010e+03, -1.90908539e+06]), array([12.5189011]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.4723276722832176,1899.2000997210337,-1909085.3946248712
HENNEPIN,"(array([-4.70004995e-01,  1.88947380e+03, -1.89891986e+06]), array([5.85520229]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.47000499496943626,1889.473801055524,-1898919.8571234052
OLMSTED,"(array([-4.65134865e-01,  1.87121518e+03, -1.88191167e+06]), array([62.80266736]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.46513486506956303,1871.2151845522524,-1881911.6727123554
