WABASHA 8.850000000000001
HOUSTON 15.987500000000002
DODGE 17.833333333333332
LE_SUEUR 22.066666666666663
SIBLEY 23.424999999999997
FILLMORE 24.78333333333333
NICOLLET 24.866666666666664
MARSHALL 25.500000000000004
LAKE 27.919999999999998
TODD 29.01666666666667
JACKSON 29.575000000000003
RENVILLE 30.275000000000006
CHISAGO 32.71666666666667
COOK 33.050000000000004
KITTSON 33.24166666666667
MURRAY 34.233333333333334
OLMSTED 34.95
RED_LAKE 37.225
MEEKER 41.133333333333326
CASS 41.50833333333333
SCOTT 42.08333333333332
FREEBORN 42.86666666666667
WATONWAN 43.65833333333333
CARVER 45.291666666666664
WASECA 45.98333333333333
PINE 46.025
YELLOW_MEDICINE 46.06666666666666
GRANT 47.041666666666664
BENTON 47.14166666666667
SHERBURNE 48.675000000000004
HENNEPIN 48.725000000000016
RAMSEY 49.75
NORMAN 50.85833333333333
ROCK 51.21666666666667
REDWOOD 51.275000000000006
FARIBAULT 51.95833333333334
LINCOLN 52.25
ISANTI 52.525
STEELE 52.59166666666667
MOWER 52.71666666666667
LYON 52.98333333333333
GOODHUE 53.4
RICE 53.425000000000004
NOBLES 53.69166666666666
WRIGHT 53.80833333333333
SAINT_LOUIS 54.4
BECKER 55.333333333333336
STEVENS 55.525000000000006
LAC_QUI_PARLE 56.55833333333333
CHIPPEWA 56.89166666666666
DAKOTA 57.24166666666667
SWIFT 57.583333333333336
ROSEAU 57.73333333333333
OTTER_TAIL 58.09166666666667
CLAY 58.19166666666666
WINONA 58.25833333333333
POLK 58.74166666666667
STEARNS 59.6
ANOKA 59.76666666666666
WASHINGTON 62.43333333333334
HUBBARD 63.69166666666667
POPE 63.725
MORRISON 63.73333333333333
KANDIYOHI 65.58333333333333
BELTRAMI 66.84166666666667
BROWN 66.91666666666667
MAHNOMEN 70.11666666666666
BLUE_EARTH 70.33333333333334
CROW_WING 70.44166666666668
COTTONWOOD 71.40833333333332
LAKE_OF_THE_WOODS 72.82727272727274
MCLEOD 73.3
PIPESTONE 73.44166666666668
KOOCHICHING 73.84166666666665
CLEARWATER 78.325
MILLE_LACS 78.58333333333333
WILKIN 80.05833333333332
TRAVERSE 80.77499999999999
ITASCA 81.09166666666665
KANABEC 83.57499999999999
CARLTON 85.89999999999999
ST._LOUIS 86.45454545454545
MARTIN 91.49166666666666
DOUGLAS 94.16666666666667
AITKIN 98.98333333333333
BIG_STONE 107.17500000000003
PENNINGTON 113.61666666666663
WADENA 164.1833333333333
