County,AITKIN,ANOKA,BECKER,BELTRAMI,BENTON,BIG STONE,BLUE EARTH,BROWN,CARLTON,CARVER,CASS,CHIPPEWA,CHISAGO,CLAY,CLEARWATER,COTTONWOOD,CROW WING,DAKOTA,DODGE,DOUGLAS,FARIBAULT,FILLMORE,FREEBORN,GOODHUE,GRANT,HENNEPIN,HUBBARD,ISANTI,ITASCA,JACKSON,KANABEC,KANDIYOHI,KITTSON,KOOCHICHING,LAC QUI PARLE,LE SUEUR,LINCOLN,LYON,MAHNOMEN,MARSHALL,MARTIN,MCLEOD,MEEKER,MILLE LACS,MORRISON,MOWER,MURRAY,NICOLLET,NOBLES,NORMAN,OLMSTED,OTTER TAIL,PENNINGTON,PINE,PIPESTONE,POLK,POPE,RAMSEY,RED LAKE,REDWOOD,RENVILLE,RICE,ROCK,ROSEAU,SCOTT,SHERBURNE,SIBLEY,ST. LOUIS,STEARNS,STEELE,STEVENS,SWIFT,TODD,TRAVERSE,WADENA,WASECA,WASHINGTON,WATONWAN,WILKIN,WINONA,WRIGHT,YELLOW MEDICINE
AITKIN,1.0,0.8224440218858526,0.7897126678831757,0.8848230043860159,0.7381834718807735,0.7647669129387212,0.7479573273949643,0.7078510533272847,0.8300566709809654,0.842812102867103,0.8192230464474279,0.6865185810130802,0.5253241938126236,0.7022812288215462,0.8896426171195084,0.5482108652491253,0.7992126340170913,0.8288889019473028,0.5241969366093526,0.812394697807962,0.7072743340134146,0.4336010523918444,0.6084648600466727,0.622143970449718,0.7373950043013325,0.8151134567936653,0.8388363904352887,0.80285583495307,0.7709359918275793,0.3633169168854437,0.6922657636914206,0.7355048244183853,0.6538127512758618,0.798825033785867,0.591049083976134,0.7439560141384504,0.7300906733060679,0.7030610582803991,0.5473287106925311,0.7981527431349364,0.8062293321589679,0.7560926967072427,0.8439705044424123,0.8604046333501181,0.7373891567890039,0.7704887637514083,0.49729340341725636,0.7562247717843923,0.733297795915049,0.6411735591484626,0.8321835852605526,0.7725871655518589,0.5903290665291094,0.6062234801172989,0.6981749431110931,0.7222050033759927,0.6726321951392779,0.8266370896256889,0.8204247530815021,0.6849877946993806,0.7180915823367297,0.776628252004699,0.45443792590144516,0.7030537386792166,0.8167717580402118,0.775910940388458,0.6012191771703267,0.7995911627224287,0.7868227550328661,0.8061534045570424,0.541042918982359,0.68965439894317,0.6611990656697373,0.433183164250505,0.8875611480085879,0.7302660895540699,0.746835579765679,0.6467608597699305,0.7799508489966278,0.8181543481466981,0.785435398893013,0.5463381449555069
ANOKA,0.8224440218858526,1.0,0.8357530361219769,0.8801883094072509,0.8669713090002329,0.908730265407203,0.935452557496367,0.8502802369136775,0.8177523456929181,0.9781408390655821,0.8914966007501534,0.6224798965101985,0.7556894792034828,0.8669395394730318,0.9519457230332948,0.7020253638688928,0.9659539616622221,0.9403319588269923,0.6677305311698623,0.9258933025095029,0.8701457291317135,0.6293794336733621,0.8138278628441871,0.7639517796385692,0.7311706712482456,0.9551068275493706,0.9220716618258286,0.9075460823584942,0.8871139687786295,0.49852260657382746,0.8824740267283842,0.9242859551652476,0.7364950743221931,0.8617859626529587,0.8392429001266477,0.6920508960364298,0.7111692962307444,0.884714183119919,0.6968743752592655,0.8415628966227501,0.9418660892306145,0.945568970008488,0.9149312139780622,0.9185668812851244,0.8243840866360973,0.8876593936416447,0.7745898901494354,0.869763761668427,0.8517744855126744,0.7016419631304357,0.8484159776554574,0.9304836879460787,0.721715893575768,0.5564729851160484,0.8241446983396292,0.7264551278225606,0.7525449610358895,0.9652783285857393,0.8233058456240286,0.8758154810009473,0.6221835128803651,0.8871570301622919,0.6184744053854008,0.7785381836639665,0.9694648067491591,0.9350100185482955,0.5904003376603436,0.947432216214624,0.9045287337439577,0.9025674048157243,0.8050649001894934,0.9427879580451506,0.9100770319947298,0.5336311583782825,0.9374571514083635,0.7996003136228962,0.9627620609674336,0.6753690884644936,0.8850075518925113,0.9332801610435671,0.8862837330228104,0.7233337050944335
BECKER,0.7897126678831757,0.8357530361219769,1.0,0.9256992991650292,0.8804564362564059,0.8824570403366219,0.8806603904744165,0.9125410974635785,0.8892413560080686,0.8358880742747985,0.9220517654458222,0.5980688430406345,0.6078577399153006,0.9027622279838027,0.850439456944655,0.6995487623419783,0.8267858997106506,0.8860865852857115,0.783480458909824,0.8654016264202828,0.7595164857107641,0.5215879860759208,0.6371968893479661,0.6803424745764078,0.6452395940099936,0.8815643688568384,0.8632599634699568,0.8473253375163341,0.8631563265241637,0.4973796191024978,0.7535798763948816,0.8437421403570643,0.6778629797467837,0.7147712532657887,0.7496569056953667,0.622332741968604,0.630142475797254,0.7348810877860698,0.6150762249090534,0.87598427193003,0.825375276275722,0.7958281330326423,0.8506751058843961,0.8942124823492985,0.834151471164241,0.6810352625421223,0.6960043990541904,0.6773311727643658,0.8416592424785129,0.6977465374214541,0.8788569422443393,0.816615440680929,0.5344802659131073,0.5381395137850259,0.7435875439664033,0.6310973642154281,0.5967987510772362,0.8795614482402254,0.8749832658592048,0.8025893452623265,0.4351545639982273,0.8795238873761115,0.4683397987416521,0.6530212556856299,0.8135993515880858,0.9060562543409139,0.689435789198059,0.8758581144176649,0.8792485494194685,0.9183677150514886,0.6919678481926289,0.8522921224276884,0.7471993823545744,0.5581026238033007,0.8314305365805048,0.7430237045676626,0.8448345290566897,0.6329789489963209,0.8456521478909855,0.9188279735180477,0.8562713099179726,0.6157023184610203
BELTRAMI,0.8848230043860159,0.8801883094072509,0.9256992991650292,1.0,0.8892756681702354,0.8910554654263977,0.88297586330735,0.8694403768390571,0.8807937418352144,0.893415010113239,0.9064926072597606,0.5833107449700824,0.525008607320032,0.8434866509424018,0.9321994983091674,0.667079771897961,0.8270054744537318,0.902932382427722,0.6510681492530734,0.8485677915178638,0.7055987034911004,0.4285265720735567,0.6909723700232375,0.6607691869820952,0.6916138710048555,0.9086707773274998,0.8810318102964201,0.836126736037619,0.8001935874323294,0.49357247211770583,0.7638528364293135,0.8416714043246326,0.6336704816632008,0.7778107690799432,0.7178053295309397,0.6576186100789357,0.6051024390278192,0.74454437562013,0.6912432357962192,0.8508789448839826,0.866675138716846,0.8323681183972096,0.9014192099579642,0.8742128435329173,0.7708235979807375,0.7438378025079183,0.6486763297279702,0.7490668850535412,0.811215073530176,0.641493740034608,0.8765662300533242,0.816350601711572,0.6036501322058442,0.5367323767771803,0.730323706716927,0.5818686622547429,0.6791592248355607,0.9142607072016582,0.8394749598854938,0.7646346910534605,0.5604565301334359,0.8625873044033867,0.5329621602476333,0.6667179962055302,0.8732889241722435,0.8391243943735357,0.566669003755326,0.9007071318646308,0.8516247653509118,0.857080908503557,0.6680037924534422,0.8481462145074646,0.7751111427442869,0.40432072825064336,0.8535328507196343,0.7645423212995718,0.8569432937531133,0.6296723252138204,0.8070500032520226,0.9394699691699214,0.8514106735293328,0.6989414130246409
BENTON,0.7381834718807735,0.8669713090002329,0.8804564362564059,0.8892756681702354,1.0,0.8794937223426665,0.9219522834796531,0.87672282568236,0.7725323192281266,0.8491202535377907,0.8378500671838552,0.4155846600994131,0.6534347318569341,0.9004158134449888,0.8883814602518187,0.6954302664377439,0.8569111358871481,0.919192430155878,0.6085322293511738,0.8111707502425196,0.7594147928587036,0.4811196034461583,0.8501776520628961,0.6727723384401055,0.6127888598833566,0.9181488394282696,0.8341162152180512,0.7871607407470536,0.7576692070343058,0.5058995522360269,0.8890746982627326,0.855993892359491,0.6012769747444129,0.8115247756756874,0.8028545993561342,0.5881559955378469,0.5530230958691876,0.9029795455826677,0.7837718469266474,0.8139638718564856,0.8559506218989299,0.8838982125461601,0.8728026843389474,0.8233298725029401,0.7098524006166695,0.6969566753269221,0.7548418283701491,0.6815668953289452,0.8209580269007738,0.6859935597864656,0.7729540189401475,0.85574384113995,0.6922991106365235,0.3982668481268156,0.7533788518228517,0.5460215938213073,0.7533001827764325,0.9171691462187855,0.8665804772775079,0.8396697202506488,0.5455681553499878,0.8817706987055669,0.6392118768506033,0.7502197919797955,0.8947367329451745,0.8507302543134191,0.5715217400765351,0.9273166092588457,0.9068466620871336,0.8045901809058031,0.8387969685624403,0.871073297378704,0.8825534297181046,0.6437575350010427,0.817346388522594,0.7941882067807721,0.882823316583385,0.7295646943289742,0.802533046390574,0.9280285716197575,0.8609349712956192,0.87104832058778
BIG STONE,0.7647669129387212,0.908730265407203,0.8824570403366219,0.8910554654263977,0.8794937223426665,0.9999999999999999,0.9039029548095062,0.854743081678208,0.8485510422355685,0.9199607720650946,0.8944661472763275,0.5081248710904109,0.671627051966481,0.8639625259584559,0.8862046762938964,0.7724947465915857,0.8967868277673435,0.9465776140864578,0.7256038846573766,0.8657053632272907,0.7886157773134164,0.5630103785145019,0.820107523629301,0.6677947246306378,0.6095264138079239,0.9482813002174764,0.8710484954841141,0.805587056898492,0.8665798408436174,0.6216143287106516,0.7764298043972329,0.883818503372005,0.6858241052000071,0.779769661818499,0.8021762981125817,0.6814760323629678,0.6651542607151368,0.7987006479837843,0.7546481110352934,0.8441449433764444,0.9306885231993571,0.8970154867010504,0.9105919866817428,0.8462348591072,0.789380184866407,0.7646113650482786,0.7647864676638534,0.7745041078962778,0.7779739292915725,0.6855789661331841,0.845624051008347,0.8601552893623056,0.6621188491158828,0.40342362880358446,0.746365110786724,0.594930009915741,0.6301191449297997,0.9384047614824607,0.8353066319540835,0.8250683912944705,0.5123308825710319,0.8775767895671646,0.6144987793878699,0.7362379497057999,0.8945203740236279,0.9281318981161493,0.5302986622605522,0.9288913597548768,0.8826856995324828,0.9033794290390076,0.7509388053224618,0.8771041718916133,0.8831996042725623,0.44164536285042727,0.8949847132529919,0.8303153135715697,0.9533068456027269,0.7207759627388343,0.8709719258555724,0.9430357784635202,0.8366770544052228,0.6950011346979432
BLUE EARTH,0.7479573273949643,0.935452557496367,0.8806603904744165,0.88297586330735,0.9219522834796531,0.9039029548095062,1.0,0.9222683332037833,0.7482467103787859,0.9118169951157845,0.8390941168031967,0.5866376939801972,0.8067655695469396,0.9441414720694793,0.9086422642154243,0.7899647262200922,0.9063150424539217,0.941000379294858,0.6866423852481061,0.9235256971111685,0.8842805325261507,0.6877451870480691,0.8623815753639711,0.7139395985316992,0.6482893649772633,0.9279709107431067,0.8900300852569194,0.9186874465804996,0.841861048354067,0.45583108051868815,0.947005347224728,0.9479881086578548,0.783868175235342,0.8276102266746307,0.9092260725163805,0.5802969539058374,0.656927346189894,0.9037312109610283,0.6999102928111754,0.8529579025958341,0.8785979770738157,0.9502071571077735,0.8490962431671507,0.9181292615881274,0.8703811475142198,0.7233277423262493,0.8488011890458725,0.7450986132548181,0.8471036955564882,0.6234368347906762,0.8329816230579095,0.9292616288088367,0.5746711810990677,0.5638073669826683,0.8910021793338547,0.6764574407407965,0.8249172461748127,0.9305986644164527,0.8431254842679177,0.9199043456784868,0.6154984244376714,0.9452437246668571,0.6547189624533868,0.8506269763625747,0.9557355707639612,0.9096297163693092,0.6640595822093882,0.9204774352153823,0.9524086657236536,0.900903801192988,0.893057606977844,0.9591257167554761,0.9170295519578295,0.5603164911573709,0.8749461432917339,0.8685447045498692,0.9371555287380836,0.802893830370482,0.8446648865555989,0.9382151926220683,0.9423452835239501,0.7721385388093839
BROWN,0.7078510533272847,0.8502802369136775,0.9125410974635785,0.8694403768390571,0.87672282568236,0.854743081678208,0.9222683332037833,1.0,0.8347814398299577,0.8415880613664416,0.8985002500047796,0.5088141495069757,0.6942114021250262,0.9057720832730092,0.8295102601964648,0.7115003863680713,0.8689195463543682,0.8624667519667838,0.6100923456155505,0.8602063762825196,0.7761574288655103,0.5254181410024967,0.7711554501243341,0.7204248545681348,0.5454448712232969,0.8871995371370678,0.8761256431718074,0.8497018929046545,0.859482562447248,0.4041213161297533,0.8260185252440851,0.8844361075329142,0.6890422328513552,0.79175969912414,0.7615909151778484,0.6626037897182877,0.5207446369008852,0.7815080707549636,0.6786500334013402,0.7943776352620483,0.799788297391665,0.870934418344342,0.8143122415699887,0.8932712518214396,0.8270294046764042,0.6209776399028684,0.7279379126989026,0.7131687700817237,0.7471016918596034,0.6369238207014329,0.8074443699999299,0.8514582428127597,0.4698504525792573,0.5498657314017186,0.8188474658529951,0.6378065485279756,0.7493700324618311,0.8686555852280204,0.752277443152273,0.8619460276056421,0.38242538560068073,0.9245974953040881,0.5207234164325129,0.7389052676280223,0.8746148116375105,0.8567262855729255,0.6460510436443065,0.8591154683833948,0.8591409130766563,0.8814046858266505,0.7885156266509055,0.8981785055878746,0.8661271987479487,0.5976243381826591,0.7616664162038606,0.7859624139889756,0.8507352320587116,0.6898474127219605,0.8130906668273856,0.9076602848969498,0.9124123919239607,0.7315547210570171
CARLTON,0.8300566709809654,0.8177523456929181,0.8892413560080686,0.8807937418352144,0.7725323192281266,0.8485510422355685,0.7482467103787859,0.8347814398299577,0.9999999999999998,0.8389903908118952,0.9168508375489065,0.5822519744161968,0.4621777223977994,0.7687299254475668,0.8268314828151062,0.6080803542502535,0.8482714151568783,0.8263133138679788,0.6138608458733218,0.8112236505292664,0.6694029712522429,0.42054101955232415,0.6028804112731179,0.6614497744387279,0.6234593510920781,0.8256395899729959,0.8730193156182103,0.7799793485984603,0.8631318075049574,0.5982468678450588,0.6083397704670465,0.7698973510152016,0.616244531399127,0.7178435747422429,0.5930763333281198,0.7759501235778028,0.5818183153043012,0.6296370308834355,0.5757167665735019,0.7906265137990076,0.7949529433366684,0.7719385159478974,0.8211964419997928,0.8478610557618348,0.7306710593932308,0.69550964468469,0.529309021812734,0.7872871673022412,0.700028521878018,0.6699669201975671,0.8786222056403592,0.7645675065290329,0.5791359562237931,0.5615044963018969,0.6278879133989568,0.6953203618577913,0.5190472376834983,0.82275197024316,0.7381926536248712,0.7136225391548456,0.36948892388671306,0.8131128159499748,0.4728400318146778,0.6137867676926811,0.7787692057019211,0.8360092959741218,0.5973313145177105,0.8028737875967589,0.7507115778600555,0.8746623787956904,0.5340928015760631,0.7415238527433186,0.7137508305767013,0.5189371238246427,0.8076808497798543,0.6974977910703258,0.7722240635089843,0.5394793886015352,0.7969943103730753,0.8399178708822432,0.8011718409066547,0.5405139052911984
CARVER,0.842812102867103,0.9781408390655821,0.8358880742747985,0.893415010113239,0.8491202535377907,0.9199607720650946,0.9118169951157845,0.8415880613664416,0.8389903908118952,0.9999999999999998,0.8937408706765284,0.6804204970058834,0.7466546766502375,0.8600036062651596,0.950237125376058,0.6963691395539529,0.9579455869622323,0.9477254524344612,0.6878230695849744,0.9417742024699295,0.8785648889133276,0.60378901612784,0.7946597510949854,0.7517526937105632,0.7305196856744788,0.9422046945230638,0.9408708452213899,0.8982505189743917,0.8780136044788207,0.47570444342304113,0.8439600159569589,0.9431692932123505,0.7751935627595281,0.8293429690964236,0.8309884675323693,0.6870619024047193,0.6967660804687075,0.8455550826253921,0.6412784400696404,0.8428087278620073,0.9700318059158315,0.9527263539339103,0.9204920155976767,0.9255074127883586,0.85028548841113,0.8769597819217774,0.7608002220739698,0.9006479712511206,0.8423772861132401,0.6358380654538501,0.8507724140007918,0.9361570202175328,0.7124918206686243,0.6164190345545111,0.8368689563403899,0.7597488500661495,0.7449063716502297,0.9736522110011832,0.7888351509346847,0.8773215547272633,0.5606411038381199,0.8944167655985927,0.5980282975022919,0.7841767633372193,0.9462420958587662,0.9316335923941566,0.6275282960918735,0.9234982891799142,0.8895098826300356,0.9052583876489008,0.7706759491901983,0.9340585934730019,0.8997229425652165,0.46053948812499845,0.9351838461288823,0.8310906071381912,0.9611299708287433,0.660549247666857,0.8552912103232448,0.931719957040241,0.8950725984867492,0.6909181656408878
