County	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
RAMSEY	46.7	50.2	51.8	54.8	56.1	57.4	56.3	50.8	48.9	46.0	42.0	36.0
RED LAKE	34.6	33.1	43.8	40.0	42.9	40.2	41.1	42.2	36.8	32.5	32.0	27.5
REDWOOD	43.0	51.3	51.0	52.4	47.4	50.0	54.5	56.8	60.5	57.4	50.0	41.0
RENVILLE	28.6	14.6	38.1	36.6	31.2	32.5	27.9	29.6	33.0	31.6	31.0	28.6
RICE	47.6	50.5	52.3	53.2	49.0	52.6	63.0	60.8	62.0	56.8	50.2	43.1
ROCK	66.9	51.4	50.4	49.9	49.3	50.5	47.5	50.6	55.7	28.7	59.6	54.1
ROSEAU	54.1	48.5	55.7	60.2	51.6	50.7	56.3	66.1	66.8	63.0	60.4	59.4
SCOTT	42.5	41.1	43.6	46.5	45.2	44.7	44.4	43.9	42.7	39.9	37.2	33.3
SHERBURNE	37.3	48.2	50.8	50.7	52.7	54.6	54.9	55.6	52.8	49.1	41.1	36.3
SIBLEY	15.7	15.9	16.1	18.2	19.9	20.9	28.6	34.2	29.6	30.6	28.0	23.4
ST. LOUIS	82.9	89.5	95.1	94.7	95.0	95.1	92.0	86.4	80.6	75.1	64.6	54.4
STEARNS	53.5	56.0	62.8	58.4	60.0	60.4	65.5	64.5	67.4	63.5	55.0	48.2
STEELE	40.3	47.3	51.4	52.7	52.0	58.3	64.2	64.7	59.1	51.6	48.0	41.5
STEVENS	66.4	62.7	55.9	50.0	52.0	52.5	52.3	58.5	55.8	53.0	57.5	49.7
SWIFT	54.0	61.4	55.7	57.5	60.9	61.6	64.1	60.2	57.6	56.3	55.0	46.7
TODD	31.3	32.6	29.7	30.3	28.8	30.6	30.3	29.4	29.4	27.4	25.3	23.1
TRAVERSE	73.2	94.0	99.4	99.9	100.2	41.7	47.8	108.4	110.3	99.3	56.6	38.5
WADENA	127.6	138.2	177.7	191.4	180.3	193.2	180.1	181.7	174.6	155.3	145.6	124.5
WASECA	41.2	40.9	44.3	47.0	45.7	43.3	51.3	49.6	49.1	48.2	43.4	47.8
WASHINGTON	57.0	66.6	66.6	67.4	67.4	72.7	68.8	63.7	60.7	57.5	53.0	47.8
WATONWAN	43.9	37.6	49.1	45.2	37.8	35.5	42.4	49.3	49.3	44.4	43.0	46.4
WILKIN	83.6	80.3	83.7	78.3	86.4	95.7	89.2	95.5	81.9	70.5	62.2	53.4
WINONA	55.3	59.6	63.2	62.7	63.3	64.4	68.4	59.8	60.9	54.2	47.4	39.9
WRIGHT	52.2	49.2	48.1	51.2	51.7	51.6	61.3	62.4	61.9	56.7	52.8	46.6
YELLOW MEDICINE	59.2	56.7	55.3	57.6	57.4	38.8	41.7	37.5	38.8	37.6	37.4	34.8
