County,AITKIN,ANOKA,BECKER,BELTRAMI,BENTON,BIG STONE,BLUE EARTH,BROWN,CARLTON,CARVER,CASS,CHIPPEWA,CHISAGO,CLAY,CLEARWATER,COTTONWOOD,CROW WING,DAKOTA,DODGE,DOUGLAS,FARIBAULT,FILLMORE,FREEBORN,GOODHUE,GRANT,HENNEPIN,HUBBARD,ISANTI,ITASCA,JACKSON,KANABEC,KANDIYOHI,KITTSON,KOOCHICHING,LAC QUI PARLE,LE SUEUR,LINCOLN,LYON,MAHNOMEN,MARSHALL,MARTIN,MCLEOD,MEEKER,MILLE LACS,MORRISON,MOWER,MURRAY,NICOLLET,NOBLES,NORMAN,OLMSTED,OTTER TAIL,PENNINGTON,PINE,PIPESTONE,POLK,POPE,RAMSEY,RED LAKE,REDWOOD,RENVILLE,RICE,ROCK,ROSEAU,SCOTT,SHERBURNE,SIBLEY,ST. LOUIS,STEARNS,STEELE,STEVENS,SWIFT,TODD,TRAVERSE,WADENA,WASECA,WASHINGTON,WATONWAN,WILKIN,WINONA,WRIGHT,YELLOW MEDICINE
AITKIN,0.9999999999999999,0.8395049993307097,0.7879694013107712,0.8798490367395755,0.7389999587807372,0.7609876134209481,0.7517005805582511,0.7231993668221266,0.8306338505024027,0.8359110202260948,0.8251171329116298,0.6893752418144388,0.5190477239263078,0.6963507324569905,0.896181224926563,0.541819267066779,0.8016536521464466,0.8312019114779869,0.5249122492855752,0.8080114887223393,0.7005521743096478,0.4374436825436682,0.5971904542354214,0.6199272180149962,0.7451605318974869,0.8062063939173968,0.8398026680946543,0.8111951294980383,0.7693511762004637,0.3643091893896039,0.692571446568454,0.7303999810976687,0.6481453328270752,0.7986847446503536,0.5892356413835027,0.7421864527879743,0.7310867046288795,0.7099193667312831,0.5510669128046016,0.8088747933325594,0.8055052599069648,0.7535490587711473,0.8483311663829928,0.8578979886964498,0.7338333681432381,0.7770138102020956,0.5017050771902676,0.7532193788164375,0.7383175597549436,0.6409405166156376,0.8632778303916572,0.7669433840948965,0.5937033862630354,0.6099667873949771,0.6962949912408266,0.7173071732997657,0.6683080911581738,0.8136407007875326,0.8249295343586219,0.6813517139848184,0.7342124362850299,0.7772218861694272,0.4511211772753474,0.697513038468782,0.8160537721766264,0.7600612205433924,0.613223639693744,0.7970934276010213,0.7834100692181496,0.7949716577703423,0.534358336542476,0.6874224332513903,0.6659744786689059,0.4306760305440461,0.8841708031389435,0.7217049838422347,0.7420283163986552,0.6378592308209624,0.7725421735028726,0.8173784734738393,0.7731043630592405,0.5450836492867583
ANOKA,0.8395049993307097,1.0000000000000002,0.8596064814060206,0.8839249127583491,0.8982014026431618,0.925723282021757,0.9361346921002968,0.8640277615088339,0.8118745753724244,0.9686585264514869,0.9037362287928971,0.6306705240452763,0.7788587399969685,0.8754028771625576,0.9510895350085724,0.7080780927496517,0.9685574693419859,0.9758551056360142,0.7199476871236917,0.9303842425897147,0.896672449721906,0.6056872149888712,0.807530209960327,0.7623495578969413,0.7345633432172547,0.9601784093798107,0.9347409099225868,0.9019893519502105,0.8882600789672015,0.49117805554551036,0.8832365269400823,0.9416930029103705,0.7463797316599754,0.8660130600572206,0.8426652187193547,0.6768022643768716,0.7081239127638443,0.9058344555127454,0.6983321216831659,0.8675416058516058,0.9763340275358388,0.949965420699238,0.9272037843137336,0.9217545317221199,0.8494690421455757,0.888066234650739,0.7687162736804337,0.842657539176408,0.876725790000554,0.7056231932221595,0.8767706309805596,0.935666505757244,0.7324846330732007,0.5569037802552943,0.8260112338586079,0.7309227351505563,0.7654356119899894,0.9716540390301759,0.8587796833798605,0.8879432847081534,0.6049445482731993,0.9062879017451922,0.6287407950080219,0.7967983273307317,0.9478898589136289,0.9375314271770105,0.6437343983714782,0.9518681524979038,0.9179586828081937,0.8890572903560993,0.8259726818989329,0.9424346282095963,0.9118209469822105,0.5356288331435038,0.9483002552987203,0.8226434440806792,0.968740381233366,0.6916862305161006,0.8981645015704337,0.9466428906686095,0.8825698060617868,0.7309871052865375
BECKER,0.7879694013107712,0.8596064814060206,0.9999999999999997,0.9127426792737943,0.8798372342755482,0.8845357002711718,0.8860479363724714,0.9289262278143058,0.8876420540299046,0.8353747614219676,0.926079293610313,0.60038236709683,0.6039971014858412,0.9009578285093831,0.8547889941052729,0.6929830890179961,0.8365634154612909,0.8902489120614412,0.7916833220589803,0.8605047935121045,0.7579038217761638,0.5330017237576994,0.6229321868855631,0.673479294863523,0.6453738478787528,0.8727744777136079,0.8710992879683679,0.8562394922027721,0.872564929736198,0.50241608119677,0.7483515058985198,0.8434731584609263,0.6790398190570545,0.7183046510618832,0.7516546007765565,0.620284435325356,0.6360007573625461,0.7468036628263265,0.6241058407719002,0.9043396564537888,0.8271954402716858,0.7931407018826381,0.8541099309044974,0.8928787982926626,0.8274031845496514,0.6894427562823476,0.7130459500354726,0.677462889323782,0.8493970359137306,0.698732292605214,0.9250167809952526,0.8151282294653535,0.5355116704483437,0.5332821092382757,0.7479612638864677,0.6277403654432777,0.5888213468063611,0.86991559115741,0.8808876737683545,0.8008449449965721,0.45021932906830253,0.8856487942642027,0.4659970939650532,0.6506185551761222,0.8069131713964465,0.8914259037634508,0.7086166051221559,0.8739699856297388,0.8804594405499305,0.8985490583721911,0.6873912133132972,0.8410058826070935,0.7573405862172755,0.550341914047128,0.82701344621803,0.7377025713607848,0.8427238658692541,0.6237357598197724,0.8407798044376975,0.916083580769883,0.8373199957039181,0.6024302441855061
BELTRAMI,0.8798490367395755,0.8839249127583491,0.9127426792737943,1.0,0.9000143131029148,0.8932841330115455,0.8743862672226462,0.8720560301694784,0.87427245124545,0.8603972079096774,0.9035678959646317,0.5770594112794821,0.5335478249106742,0.8348807062337273,0.9294801701494525,0.6566004920067968,0.8165360104624592,0.9005236510882833,0.64895215414172,0.843501479486085,0.6950548007915999,0.4264129891175046,0.6895389077944071,0.6739723946548278,0.6917693249796757,0.9051236115231007,0.8696447170752457,0.8362775397136514,0.7854707067892333,0.4848489924141937,0.7570445116654226,0.8328764592058779,0.6273776110628597,0.7664423865670762,0.6997889784914287,0.6613060655431806,0.603111625282253,0.7521982554367775,0.6829472147128951,0.8559754650012795,0.8716795881387297,0.8276977803596667,0.913142972374507,0.8588250497064043,0.7755629172685713,0.7492140901449369,0.6408847929806277,0.7206203492734676,0.8093437659100098,0.6410053154303272,0.8767191262882613,0.7984338589839691,0.6038220068209739,0.5352660158100253,0.7138746330018235,0.5710552211784381,0.6792803169100852,0.8909163297791161,0.8525968900055866,0.757318277685707,0.5652037514926089,0.8625942203804203,0.5319276057161391,0.6601213313533061,0.8603332427677381,0.8353107056239885,0.5683265041520054,0.8870748120064672,0.8512791767687994,0.8643946873941348,0.6626562269985309,0.8525841702919608,0.7763093778141762,0.3979106697866029,0.8588181778825446,0.7649075532693661,0.8469940109984034,0.6222328976881158,0.8111736286692022,0.926447343726589,0.8381016939738781,0.7103600760335413
BENTON,0.7389999587807372,0.8982014026431618,0.8798372342755482,0.9000143131029148,1.0,0.8880142847015877,0.9382444455059441,0.9073275442031581,0.7683587048564775,0.8374569107876161,0.8455180455058963,0.41879015308792716,0.6654719403473903,0.8926013560956403,0.9105661963543947,0.7025700352144623,0.8601536921985277,0.926552392196173,0.6314358829688164,0.8219441034008044,0.750425009635293,0.5181532207537527,0.8416976711231885,0.6925664022094777,0.6200995372355801,0.9406555223112368,0.8305142982770206,0.8144322504658744,0.7725856614845352,0.5018153439769251,0.906643750202195,0.8533115291447599,0.6076907298004126,0.8282062600034208,0.8162865653990212,0.6171774762867674,0.5737687430870261,0.8989884464949506,0.79329503664529,0.8058144785633025,0.8601511033835256,0.8889086199930998,0.8638567994637928,0.8211257535502531,0.7320100335244853,0.7109625052235102,0.748578159406255,0.6718948376726315,0.8225784859970552,0.6985811499916568,0.7961038237436722,0.8432952318592912,0.6988915656735136,0.4051669331877569,0.7516617044883248,0.536427430027021,0.7556777358645584,0.9092929694052839,0.8750382318949695,0.8402097459444771,0.5708406811204482,0.8834817780588496,0.6492845774289828,0.7522248912426441,0.9115040777447135,0.8368830458966665,0.5250986703158729,0.9302606095130571,0.9077368248995195,0.8086012561301434,0.8365892683305273,0.8979622029106722,0.8811749918288447,0.6398352654249676,0.827862869660869,0.7947849318688378,0.8851269290750423,0.7316171691577497,0.814453044372287,0.9391868629261607,0.8660714609920273,0.8891134839775258
BIG STONE,0.7609876134209481,0.925723282021757,0.8845357002711718,0.8932841330115455,0.8880142847015877,1.0000000000000004,0.9100945381472018,0.8668937314065477,0.8432494176766271,0.9047709079752694,0.8938918087037688,0.5089282973781271,0.6698287555605209,0.8651799567574142,0.8910784286693745,0.7743040233035562,0.8960628725507058,0.9561592489005597,0.74141283019184,0.8671210973720906,0.7856843338545391,0.5771018076514782,0.8074833796033074,0.6711385072330228,0.6131502597574493,0.9441345046704948,0.869656818385938,0.8170193386111758,0.865326991809665,0.6245325511553347,0.7799146690207008,0.883030640183231,0.6842224903858356,0.7783966697658384,0.8054534170511103,0.674528592276823,0.666818728664334,0.8032683167925703,0.7566172953975504,0.8493900169070346,0.9305874902061625,0.8959327736873836,0.9090310326120872,0.8429780834420628,0.7952626866328184,0.7720451630289761,0.7655670761779098,0.7629494803307251,0.7928015874405028,0.6879393980828302,0.8832042245935431,0.8517005104308976,0.6599862894456817,0.4076813059275821,0.7417370715314224,0.5867496843639621,0.6287244525150009,0.926744333428923,0.8456528816646954,0.8225423244920461,0.5224159803908262,0.8791318168565073,0.6217427817065204,0.7326427373611389,0.8914781017696547,0.9115631483365421,0.5344905604200453,0.9279817389191248,0.8843518591717161,0.8949157267200537,0.752281561690973,0.8829915521288274,0.8837403384997922,0.43568681238121953,0.8946423008686925,0.8251620624456955,0.9491201042210452,0.7097674544559572,0.873421848851037,0.9414331053631859,0.8317992311355847,0.6943783519289669
BLUE EARTH,0.7517005805582511,0.9361346921002968,0.8860479363724714,0.8743862672226462,0.9382444455059441,0.9100945381472018,1.0000000000000002,0.9299424081494836,0.7403040635837627,0.9038713192302652,0.8447966257640678,0.5868699361630769,0.8242090312066664,0.9449322827610379,0.9013978764178995,0.7895364878732445,0.9061160916057911,0.9629634823980135,0.7099598272678062,0.9222245005926359,0.8984987355747985,0.6696277618563318,0.8633538497835732,0.7106581507210875,0.6426809061080629,0.9124820551033203,0.8963219831577427,0.912399125145557,0.8338502151810508,0.4501142876104831,0.9458618866985733,0.9527993347943673,0.7832301997394797,0.8244015438647754,0.9054989005309066,0.561765265990538,0.651823684075731,0.9267189969427159,0.7000103680633196,0.8656767114396922,0.8959453702430362,0.9501964542134337,0.8677610588239291,0.9169797628152068,0.8809150361138776,0.7274444453414066,0.8599923027719362,0.7384386476568111,0.8624248801848202,0.6170383792719113,0.8543649533766634,0.9349330559799119,0.5777440099225711,0.5579511151021125,0.8930934458083224,0.6756944562181932,0.8293890072343972,0.9233821042804589,0.8631912261908355,0.9233594226183448,0.615850315303907,0.9510243585659084,0.6551944667955799,0.8564858876154061,0.9430917221127975,0.9047131955046741,0.7166955549351497,0.9221518940041368,0.9596027408261363,0.8876923048930604,0.9020920666181071,0.9517117840858946,0.9273467640822469,0.5558771242754127,0.8762900441962828,0.8768532739896551,0.9407440318558646,0.8121052703800374,0.8454637669809998,0.9439203864966019,0.9287161956344383,0.7676405577638161
BROWN,0.7231993668221266,0.8640277615088339,0.9289262278143058,0.8720560301694784,0.9073275442031581,0.8668937314065477,0.9299424081494836,0.9999999999999998,0.840221544845115,0.8491600455965927,0.8972812457314311,0.5129496447409322,0.6958609607007977,0.9303639170995912,0.8289103398482514,0.7252013311455416,0.8874085462713898,0.9066458828062929,0.6273162117752223,0.8737422532315035,0.8007137721019767,0.5280376208379131,0.7822144504897902,0.7165674783800668,0.5373966641058698,0.8727616933655478,0.8945915001841541,0.8527491970509223,0.8641034169712876,0.4123187074271591,0.8303941503800976,0.9028148448911302,0.697126747528643,0.7990023347792725,0.7707702565307132,0.6495848907266691,0.5292454062136183,0.8060159697831147,0.6901558520657328,0.8041639256592163,0.8142367603230783,0.8846135848179125,0.8353201831198694,0.906481603567007,0.8337908722853712,0.6429448479187108,0.7426166824783659,0.7406602365444283,0.7933627777860156,0.649445600768875,0.8921454571683937,0.8683850469253592,0.4788104873939071,0.5503902381772989,0.835031671197544,0.6517374533453009,0.7555365939135261,0.880056383347708,0.7747304238152379,0.870160564879622,0.38618039896357115,0.9348684017308792,0.5314045589145217,0.7571796431896202,0.872560578375162,0.8495105928337443,0.7140098530761737,0.8792807759319988,0.8788344605416759,0.8646126939465605,0.804146075620723,0.8871882019921985,0.8851193059484629,0.6041303790167122,0.7672912376100882,0.8050188471424826,0.8629725619522197,0.6901438494176827,0.8280377477030663,0.9130278381007559,0.919151195401323,0.7145134726756216
CARLTON,0.8306338505024027,0.8118745753724244,0.8876420540299046,0.87427245124545,0.7683587048564775,0.8432494176766271,0.7403040635837627,0.840221544845115,0.9999999999999999,0.8248197085515396,0.9217034184110333,0.5823756400101079,0.4562139632749632,0.7570902285878274,0.8225659819527399,0.6123627590682237,0.8396437723737985,0.837586754272337,0.6289748161060452,0.8096058999566951,0.6642410647550379,0.416151047365497,0.5931680134034741,0.6560126586742924,0.6224792699446029,0.8098033303800213,0.8632113078038406,0.7712843292314223,0.8538482091368923,0.6025023863781438,0.6035206536758352,0.7536848378500303,0.6060248123900417,0.7114147313667164,0.5854992715874296,0.7775856154815001,0.5831435890941836,0.6175896054119259,0.5677648066674493,0.7618401951746243,0.7916787268129615,0.7646810466763496,0.8209939116630467,0.8430479146786933,0.7365135826356665,0.6948478710072881,0.5143516268494674,0.7879233485825575,0.7030836222277406,0.668625066003225,0.9035693053149173,0.7557494138358132,0.5792878240377812,0.5637717350039873,0.612877013248328,0.6945425931835029,0.5055930656471559,0.8083134760014323,0.7427481438388177,0.7049950336541351,0.3662083829494784,0.7984555598332881,0.47228890084054137,0.606669590039576,0.7781212876152365,0.8089289956338084,0.6084851349233942,0.8004146006598567,0.7403390270198092,0.867667432550011,0.5201401530840029,0.7352455045259778,0.7054840330517712,0.5177235062633508,0.8061807303660384,0.6857436178005769,0.7655545154636882,0.5374283823883482,0.7914310365029885,0.8433318291543005,0.7964307208862181,0.5295051378014543
CARVER,0.8359110202260948,0.9686585264514869,0.8353747614219676,0.8603972079096774,0.8374569107876161,0.9047709079752694,0.9038713192302652,0.8491600455965927,0.8248197085515396,0.9999999999999999,0.9000912227175313,0.6793906895586594,0.7374493143439207,0.8529586980719909,0.9395759688023482,0.7009521267060559,0.9525133742635112,0.9545080428249569,0.6958395593205573,0.9278332106160837,0.881762991074459,0.5914136059103763,0.7697645197811327,0.7239679751338975,0.7274553030275723,0.9125548947163264,0.9329484119962391,0.8697330616680358,0.8696446399236565,0.47626141143962497,0.8342797491939816,0.9218555996919631,0.7628316688144592,0.825003496785571,0.8314639155808581,0.6630494814876077,0.6891444268759388,0.8445429441665966,0.6408956180128615,0.831594291884405,0.9627460957219106,0.9382598879811402,0.9211166403821296,0.9243271503474121,0.8326791543801673,0.8681395951285056,0.775748073785992,0.902352926989227,0.846224754908342,0.625464414714582,0.8771444321270678,0.9375772319893989,0.7058811312067067,0.6051311234329477,0.8325335998950117,0.7584185995383709,0.7283201295387409,0.9662019233110496,0.7946699779890447,0.8722166338460383,0.5600150845241831,0.8787122522197716,0.5924094007953266,0.7738966311706855,0.9383133974108628,0.8833141416143885,0.6649126914742954,0.9212879499882511,0.8788508397873631,0.8726382524068449,0.7604285776055884,0.900612219442199,0.9057614173825187,0.4516251562337195,0.9194900523239229,0.8003808441486491,0.9538182127975006,0.6528409280241806,0.8300235354720781,0.9357592930774603,0.8755958533456419,0.6618722028171073
